Comment,Designator,Footprint,LCSC
10uH,L1,L_1206_3216Metric,C1051
ALS-PDIC15-21B/TR1,Y1,CAPCAV_CKCA43-8,C131243
HT7533-1-SOT89,U4,SOT-89-3,C14289
100nF,"C1,C5,C6,C8,C9",C_0603_1608Metric,C1525
1uF,C7,CP_EIA-1608-08_AVX-J,C15849
HY2113-KB5B-SOT23-6,U2,SOT-23-6,C168771
330,R3,R_0805_2012Metric,C17630
100,R1,R_1206_3216Metric,C17901
10uF,"C2,C3,C4",C_0201_0603Metric,C19702
D_Schottky,"D1,D2",D_SMA,C22452
100K,R5,R_0603_1608Metric,C25803
10k,"R4,RL1",R_0603_1608Metric,C25804
HT7550S-SOT89-3,U3,SOT-89-3,C259568
2K,"R2,R6,R7,R8,R9",R_0402_1005Metric,C4109
USB_B_Micro,J1,SOT95P280X145-6N,C668587
CAT24C256,U6,SOIC-8W_5.3x5.3mm_P1.27mm,C79987
HDC1080,U1,Texas_PWSON-N6,C82227
2N7002,"Q1,Q2,Q3",SOT-23,C8545
CH340E,U5,MSOP-10_3x3mm_P0.5mm,C99652
Conn_01x24_Socket,J2,PinSocket_1x24_P2.54mm_Vertical,
Conn_01x24_Socket,J3,PinSocket_1x24_P2.54mm_Vertical,
Battery_Cell,BT1,BAT_BH-18650-W,
