Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BAT_BH-18650-W,145.034,-62.934,0.0,top
C1,100nF,C_0603_1608Metric,111.2775,-98.216,0.0,top
C2,10uF,C_0201_0603Metric,119.455,-93.5,180.0,top
C3,10uF,C_0201_0603Metric,115.2,-90.2,180.0,top
C4,10uF,C_0201_0603Metric,108.712,-80.145,-90.0,top
C5,100nF,C_0603_1608Metric,177.2425,-105.872,0.0,top
C6,100nF,C_0603_1608Metric,177.2425,-108.562,0.0,top
C7,1uF,CP_EIA-1608-08_AVX-J,177.2425,-111.252,0.0,top
C8,100nF,C_0603_1608Metric,177.2425,-113.942,0.0,top
C9,100nF,C_0603_1608Metric,177.2425,-116.632,0.0,top
D1,D_Schottky,D_SMA,116.4,-128.2,180.0,top
D2,D_Schottky,D_SMA,121.0,-96.5,180.0,top
J1,USB_B_Micro,SOT95P280X145-6N,100.0,-131.0,90.0,top
J2,Conn_01x24_Socket,PinSocket_1x24_P2.54mm_Vertical,131.547,-107.686,0.0,top
J3,Conn_01x24_Socket,PinSocket_1x24_P2.54mm_Vertical,147.549,-107.686,0.0,top
L1,10uH,L_1206_3216Metric,123.444,-89.408,-90.0,top
Q1,2N7002,SOT-23,115.038,-102.9635,90.0,top
Q2,2N7002,SOT-23,160.8125,-86.5,0.0,top
Q3,2N7002,SOT-23,110.606,-108.4855,-90.0,top
R1,100,R_1206_3216Metric,110.883,-94.5,180.0,top
R2,2K,R_0402_1005Metric,107.91,-97.8,0.0,top
R3,330,R_0805_2012Metric,154.4875,-84.6,0.0,top
R4,10k,R_0603_1608Metric,154.4,-86.8,0.0,top
R5,100K,R_0603_1608Metric,173.482,-117.0,90.0,top
R6,2K,R_0402_1005Metric,173.802,-106.934,180.0,top
R7,2K,R_0402_1005Metric,173.11,-122.9,180.0,top
R8,2K,R_0402_1005Metric,173.11,-121.15,180.0,top
R9,2K,R_0402_1005Metric,173.11,-119.4,180.0,top
RL1,10k,R_0603_1608Metric,154.6,-89.4,90.0,top
U1,HDC1080,Texas_PWSON-N6,160.3,-93.65,-90.0,top
U2,HY2113-KB5B-SOT23-6,SOT-23-6,110.45,-102.6,90.0,top
U3,HT7550S-SOT89-3,SOT-89-3,115.57,-84.836,90.0,top
U4,HT7533-1-SOT89,SOT-89-3,115.57,-78.0,90.0,top
U5,CH340E,MSOP-10_3x3mm_P0.5mm,165.0,-110.75,0.0,top
U6,CAT24C256,SOIC-8W_5.3x5.3mm_P1.27mm,164.0,-103.0,0.0,top
Y1,ALS-PDIC15-21B/TR1,CAPCAV_CKCA43-8,170.725,-88.9,0.0,top
